e_form,s_modulus,b_modulus,gap opt,nsites,volume,density,uepa,epa,fepa,efermi,band_gap
0.161,71.22,196.2,0.0016,2,21.18714584,9.218965015,-6.437923205,-6.437923205,0.006304033,6.51257403,0
0.006,116.92,209.367,0.0018,4,42.50079576,9.200893642,-6.77878303,-6.77878303,-0.002510514,5.8256205,0
-0.014,-4.58,200.067,0.0019,2,29.27592226,8.612386107,-8.642405925,-8.642405925,-0.037594508,5.65097905,0
-0.21,42.96,92.7,0.0098,2,27.30451054,5.047594077,-3.841390745,-3.841390745,-0.15118238,5.72902246,0
-0.302,89.12,210.033,0.0006,4,52.18085429,8.559896739,-6.728860528,-6.728860528,0.131568243,6.54168296,0
-0.311,78.487,210.144,0.0053,4,52.18085429,8.559896739,-6.728860528,-6.728860528,0.131568243,6.54168296,0
-0.663,80.12,157.333,0.0123,2,23.38657212,6.08325931,-5.42169625,-5.42169625,-0.658839995,10.47765691,0
-0.352,72,101.067,0.0026,22,322.1323684,3.718700101,-4.688866785,-4.688866785,-0.331883325,7.68862556,0
-0.575,78.42,166.267,0.0014,8,90.37206581,6.879616057,-5.58306793,-5.58306793,-0.565891569,8.91322567,0
-0.428,101.68,123.433,0.0678,4,63.09599017,4.575352087,-5.76353898,-5.76353898,-0.429030848,7.64565946,0
-0.28,77.507,160.544,0.0101,30,517.5739157,6.827106917,-8.275865659,-8.275865659,-0.293137022,5.91002105,0
-0.477,80.28,123.967,0.0022,28,376.33074,4.461407961,-5.16726633,-5.16726633,-0.460907082,8.03526829,0
-0.438,87.64,180.467,0.0237,4,43.99290677,7.664689028,-5.658682765,-5.658682765,-0.387186297,8.33498485,0
-0.618,110.54,179.533,0.0111,2,22.41153327,6.365685462,-6.03842334,-6.03842334,-0.611476527,8.41814647,0
-0.116,89.413,229.922,0.0025,24,300.1428895,8.952881584,-7.939704926,-7.939704926,-0.08314032,5.53477303,0
-0.169,111.44,238.233,0.0128,6,78.31978939,8.937624105,-8.2503263,-8.2503263,-0.14434609,5.74761458,0
-0.388,72.22,177.667,0.0312,4,43.99290677,7.664689028,-5.658682765,-5.658682765,-0.387186297,8.33498485,0
-0.168,16.32,162.3,0.0036,8,141.2029934,7.190044732,-8.686158529,-8.686158529,-0.173785791,5.52989407,0
-0.075,168.367,339.578,0.0197,8,109.1573582,18.78889126,-11.17779507,-11.17779507,-0.067320233,7.05780333,0
0.229,100.78,262.467,0.0107,4,60.42361638,16.01975277,-9.468321593,-9.468321593,0.265143809,6.95343504,0
-0.194,112.733,241.389,0.0007,24,300.1428895,8.952881584,-7.939704926,-7.939704926,-0.08314032,5.53477303,0
-0.014,22.4,43.033,0.0129,4,82.18839218,2.018315489,-2.137376958,-2.137376958,-0.000772963,4.46569114,0
-0.148,36.66,202.1,0.0012,4,52.18085429,8.559896739,-6.728860528,-6.728860528,0.131568243,6.54168296,0
-0.141,33.48,201.1,0.0032,4,52.18085429,8.559896739,-6.728860528,-6.728860528,0.131568243,6.54168296,0
0.086,23.3,176.567,0.0021,4,66.45601286,8.43094071,-8.919541785,-8.919541785,0.101471165,5.59297553,0
0.02,64.12,180.867,0.0046,4,66.45601286,8.43094071,-8.919541785,-8.919541785,0.101471165,5.59297553,0
0.093,-6.24,176.8,0.0007,4,66.45601286,8.43094071,-8.919541785,-8.919541785,0.101471165,5.59297553,0
0.025,19.993,34.556,0.0221,4,98.54977228,5.049641043,-4.6361115,-4.6361115,0.023006905,3.90282422,0
0,14.947,36.211,0.0244,2,77.4717364,6.940336152,-3.29608368,-3.29608368,2.75E-06,3.64626493,0
-1.184,25.667,78.478,0.0038,16,161.2866372,4.099770733,-4.719556376,-5.006806376,-1.419281278,1.63235287,0
-2.086,52.42,75.067,1.9202,16,228.5127501,4.183836643,-6.657687327,-7.578937327,-1.157508266,2.03243527,0.5196
-0.674,19.7,31.4,1.1541,10,151.6845622,5.10973052,-5.314942663,-5.727142663,-1.023970779,1.40205598,0.5709
-0.668,23.067,40.878,0.7329,10,151.6845622,5.10973052,-5.314942663,-5.727142663,-1.023970779,1.40205598,0.5709
-1.615,27.32,42.033,0.0313,8,192.6137874,4.633206536,-6.117653996,-6.556403996,-2.017891393,1.08193559,0.9
-0.927,51.433,79.156,0.0819,12,124.1982623,4.8630674,-5.580890477,-6.584890477,-0.917658738,-0.70263144,0
-2.322,56.247,93.544,1.3438,14,161.3066148,3.333547563,-7.355359301,-8.08893073,-2.484551854,0.77958503,1.8034
-0.204,5.947,17.478,1.2599,4,141.950812,5.492736318,-2.458172833,-2.647672833,-0.494711656,1.31058614,1.3877
0.017,13.253,26.822,0.003,3,87.01640039,5.968076484,-3.382833003,-3.63549967,-0.283816172,4.08260144,0
-0.772,18.72,31.233,0.8167,10,273.8136408,4.980573124,-4.832165834,-5.234565834,-1.194728903,1.9909372,0.9421
-1.768,37.12,54.633,1.8723,6,117.3808636,5.238049756,-7.77849192,-8.076825253,-1.931083958,2.38118553,1.4709
-0.83,9.047,16.378,2.3104,8,263.1236339,4.474785533,-2.756031664,-3.156531664,-1.303839484,-0.3502847,2.489
-1.473,7.687,12.578,2.676,8,362.449014,4.303066624,-4.196998128,-4.481248128,-1.759605587,0.34578238,3.0417
-0.081,14.44,36.1,0.0101,12,244.8058111,5.799783409,-3.920187479,-4.156187479,-0.358628405,4.06416681,0
