,s_modulus,b_modulus,nsites,volume,density,epa,fepa,efermi,band_gap,is_metal
0,71.22,196.2,2,21.18714584,9.218965015,-6.437923205,0.006304033,6.51257403,0.0,1
1,116.92,209.367,4,42.50079576,9.200893642,-6.77878303,-0.002510514,5.8256205,0.0,1
2,-4.58,200.067,2,29.27592226,8.612386107,-8.642405925,-0.037594508,5.65097905,0.0,1
3,42.96,92.7,2,27.30451054,5.047594077,-3.841390745,-0.15118238,5.72902246,0.0,1
4,89.12,210.033,4,52.18085429,8.559896739,-6.728860528,0.131568243,6.54168296,0.0,1
5,78.487,210.144,4,52.18085429,8.559896739,-6.728860528,0.131568243,6.54168296,0.0,1
6,80.12,157.333,2,23.38657212,6.08325931,-5.42169625,-0.658839995,10.47765691,0.0,1
7,72.0,101.067,22,322.1323684,3.718700101,-4.688866785,-0.331883325,7.68862556,0.0,1
8,78.42,166.267,8,90.37206581,6.879616057,-5.58306793,-0.565891569,8.91322567,0.0,1
9,101.68,123.433,4,63.09599017,4.575352087,-5.76353898,-0.429030848,7.64565946,0.0,1
10,77.507,160.544,30,517.5739157,6.827106917,-8.275865659,-0.293137022,5.91002105,0.0,1
11,80.28,123.967,28,376.33074,4.461407961,-5.16726633,-0.460907082,8.03526829,0.0,1
12,87.64,180.467,4,43.99290677,7.664689028,-5.658682765,-0.387186297,8.33498485,0.0,1
13,110.54,179.533,2,22.41153327,6.365685462,-6.03842334,-0.611476527,8.41814647,0.0,1
14,89.413,229.922,24,300.1428895,8.952881584,-7.939704926,-0.08314032,5.53477303,0.0,1
15,111.44,238.233,6,78.31978939,8.937624105,-8.2503263,-0.14434609,5.74761458,0.0,1
16,72.22,177.667,4,43.99290677,7.664689028,-5.658682765,-0.387186297,8.33498485,0.0,1
17,16.32,162.3,8,141.2029934,7.190044732,-8.686158529,-0.173785791,5.52989407,0.0,1
18,168.367,339.578,8,109.1573582,18.78889126,-11.17779507,-0.067320233,7.05780333,0.0,1
19,100.78,262.467,4,60.42361638,16.01975277,-9.468321593,0.265143809,6.95343504,0.0,1
20,112.733,241.389,24,300.1428895,8.952881584,-7.939704926,-0.08314032,5.53477303,0.0,1
21,22.4,43.033,4,82.18839218,2.018315489,-2.137376958,-0.000772963,4.46569114,0.0,1
22,36.66,202.1,4,52.18085429,8.559896739,-6.728860528,0.131568243,6.54168296,0.0,1
23,33.48,201.1,4,52.18085429,8.559896739,-6.728860528,0.131568243,6.54168296,0.0,1
24,23.3,176.567,4,66.45601286,8.43094071,-8.919541785,0.101471165,5.59297553,0.0,1
25,64.12,180.867,4,66.45601286,8.43094071,-8.919541785,0.101471165,5.59297553,0.0,1
26,-6.24,176.8,4,66.45601286,8.43094071,-8.919541785,0.101471165,5.59297553,0.0,1
27,19.993,34.556,4,98.54977228,5.049641043,-4.6361115,0.023006905,3.90282422,0.0,1
28,14.947,36.211,2,77.4717364,6.940336152,-3.29608368,2.75e-06,3.64626493,0.0,1
29,25.667,78.478,16,161.2866372,4.099770733,-5.006806376,-1.419281278,1.63235287,0.0,1
30,52.42,75.067,16,228.5127501,4.183836643,-7.578937327,-1.157508266,2.03243527,0.5196,0
31,19.7,31.4,10,151.6845622,5.10973052,-5.727142663,-1.023970779,1.40205598,0.5709,0
32,23.067,40.878,10,151.6845622,5.10973052,-5.727142663,-1.023970779,1.40205598,0.5709,0
33,27.32,42.033,8,192.6137874,4.633206536,-6.556403996,-2.017891393,1.08193559,0.9,0
34,51.433,79.156,12,124.1982623,4.8630674,-6.584890477,-0.917658738,-0.70263144,0.0,1
35,56.247,93.544,14,161.3066148,3.333547563,-8.08893073,-2.484551854,0.77958503,1.8034,0
36,5.947,17.478,4,141.950812,5.492736318,-2.647672833,-0.494711656,1.31058614,1.3877,0
37,13.253,26.822,3,87.01640039,5.968076484,-3.63549967,-0.283816172,4.08260144,0.0,1
38,18.72,31.233,10,273.8136408,4.980573124,-5.234565834,-1.194728903,1.9909372,0.9421,0
39,37.12,54.633,6,117.3808636,5.238049756,-8.076825253,-1.931083958,2.38118553,1.4709,0
40,9.047,16.378,8,263.1236339,4.474785533,-3.156531664,-1.303839484,-0.3502847,2.489,0
41,7.687,12.578,8,362.449014,4.303066624,-4.481248128,-1.759605587,0.34578238,3.0417,0
42,14.44,36.1,12,244.8058111,5.799783409,-4.156187479,-0.358628405,4.06416681,0.0,1
43,20.46,51.867,2,40.88504724,5.438245756,-6.905958335,-0.57699495,4.96179142,0.0,1
44,73.973,110.656,8,72.70467185,2.740205756,-6.737027018,-2.479107193,2.64181688,4.4054,0
45,70.727,116.244,12,124.1982623,4.8630674,-6.584890477,-0.917658738,-0.70263144,0.0,1
46,6.027,12.278,16,605.6024669,4.921190383,-3.37239129,-1.24749776,-1.11987361,2.8714,0
47,25.46,47.467,6,127.5064962,4.813605402,-7.665112838,-3.34305012,0.99738086,4.4849,0
48,38.96,96.3,6,108.5875712,7.461909928,-5.764808635,-2.198589699,2.2430828,3.3088,0
49,13.387,90.944,12,162.7406477,5.107734169,-6.075905306,-1.290872403,3.61337659,0.3152,0
50,21.02,31.467,6,183.1164929,5.889721682,-5.894492357,-1.058422987,5.07857507,0.0,1
51,36.273,49.356,8,149.6591765,1.892098258,-4.913855323,0.003314711,4.27304904,0.9014,0
52,43.8,80.133,8,71.38433863,4.492010428,-5.304946301,-0.958618767,2.59832873,0.0,1
53,15.54,30.167,4,52.62862259,5.535763094,-4.42935427,-0.542951164,3.94532551,0.0,1
54,17.28,32.567,8,140.6566332,3.093021062,-4.471944361,-0.511664173,0.3523507,0.6614,0
55,11.153,25.122,12,124.1982623,4.8630674,-6.584890477,-0.917658738,-0.70263144,0.0,1
56,54.113,58.922,48,574.5612148,3.835291483,-8.749196473,-2.423435309,2.45847586,0.7988,0
57,1.88,51.6,16,187.5467073,6.2189878,-5.805063366,-1.309220359,3.94631866,1.1349,0
58,11.6,82.4,6,95.16902554,8.40936163,-5.571468943,-0.993513426,4.28561746,0.0,1
59,31.753,47.856,5,130.2626257,5.973814355,-7.043507716,-1.284444605,5.46595317,0.0,1
60,39.967,52.911,6,106.6613332,3.092474823,-7.627452408,-2.730546612,3.76229784,0.0,1
61,8.927,18.344,10,363.2801919,5.097944666,-5.33083194,-1.830127274,1.67826143,0.0,1
62,9.8,24.5,3,94.93352711,5.466165219,-3.322995767,-0.414039307,4.42185907,0.0,1
63,25.8,39.0,14,313.9405313,5.709342776,-6.240134375,-0.92100439,3.94747665,0.0,1
64,18.033,35.489,6,185.6867373,5.278082853,-5.440657895,-1.16340005,6.13639059,0.0,1
65,50.42,68.4,6,143.2661327,6.756479699,-6.361524097,-0.923512637,6.86542356,0.0,1
66,7.62,19.167,8,235.6100244,7.80534525,-2.847397243,-0.433942077,0.14972865,1.9716,0
67,39.407,65.811,24,292.3254387,5.992416808,-6.895245617,-0.592010078,8.33493297,0.0,1
68,61.987,118.778,48,637.0399319,3.721983085,-7.055108324,-1.560130393,0.19946474,0.0987,0
69,33.28,74.367,6,104.7924599,7.224172088,-8.907878555,-2.193805017,2.84487805,2.2055,0
70,20.313,34.622,12,266.183959,2.635436329,-5.858019361,-0.589327787,3.59819356,0.0,1
71,30.487,47.711,6,126.1074139,3.709573978,-7.501078458,-3.223683076,0.72578235,3.236,0
72,22.047,46.311,6,103.1238403,3.455486605,-6.581795693,-1.493380166,0.82134767,1.9133,0
73,18.447,35.811,10,201.4135744,2.637984463,-5.023247098,-0.689810722,3.61932685,0.0,1
74,10.627,32.178,20,454.615746,3.025844645,-5.461568456,-0.648477687,3.13898554,0.0,1
75,27.653,43.256,12,279.252151,4.468341689,-7.159906422,-2.909065033,3.2977294,1.9603,0
